"","Kingdom","Phylum","Class","Order","Family","Genus","Species","Silva.ref"
"Zotu.0018","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium_unclass","AF260434.GV2Spe54_100_Corynebacterium_epidermidicanis_1446_96.196"
"Zotu.0019","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella_aerofaciens","AAVN02000007.I9VAerof_97.04_Collinsella_aerofaciens_1428_99.93"
"Zotu.0020","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Klebsiella","Klebsiella_oxytoca","AB053117.KlbOx149_100_Klebsiella_oxytoca_1461_99.042"
"Zotu.0021","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Methylobacterium","Methylobacterium_hispanicum","EU919766.Unc88959_96.54_Methylobacterium_hispanicum_1403_99.857"
"Zotu.0022","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Proteiniphilum","Proteiniphilum_unclass","EF063616.Unc38060_92.15_Proteiniphilum_acetatigenes_1455_92.852"
"Zotu.0023","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Methylobacterium","Methylobacterium_extorquens","AB500944.HXVSpe39_98.96_Methylobacterium_extorquens_1406_99.573"
"Zotu.0024","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus_2","Ruminococcus_2_unclass","DQ057453.FNWIc127_94.21_Ruminococcus_bromii_1390_92.662"
"Zotu.0025","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_ge","Eubacterium_rectale","AB506181.Unc12029_97.49_Eubacterium_rectale_1454_98.624"
"Zotu.0026","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Saccharopolyspora","Saccharopolyspora_rectivirgula","AM697552.Unc47619_93.93_Saccharopolyspora_rectivirgula_1459_98.835"
"Zotu.0027","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","Stenotrophomonas_maltophilia","CP001111.GFUMalt6_99.61_Stenotrophomonas_maltophilia_1468_99.455"
"Zotu.0028","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Peptoniphilus","Peptoniphilus_harei","AB559672.Unc18733_97.81_Peptoniphilus_harei_1446_99.723"
"Zotu.0029","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","Faecalibacterium_prausnitzii","LN612658.Unc63377_97.69_Faecalibacterium_prausnitzii_1433_97.976"
"Zotu.0030","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus_alactolyticus","AB002519.S53Alac2_100_Streptococcus_alactolyticus_1417_98.377"
"Zotu.0031","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Caldibacillus","Caldibacillus_debilis","EF661579.UncB1476_99.61_Caldibacillus_debilis_1481_99.73"
"Zotu.0032","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Akkermansia","Akkermansia_muciniphila","AB969335.Unc04r1u_97.58_Akkermansia_muciniphila_1433_99.721"
"Zotu.0033","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus_thermophilus","AB506443.Unc04itq_99.41_Streptococcus_thermophilus_1469_99.864"
"Zotu.0034","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Acidaminococcaceae","Phascolarctobacterium","Phascolarctobacterium_succinatutens","AB490811.GD4Succ2_93.96_Phascolarctobacterium_succinatutens_1442_100"
"Zotu.0035","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclass","Lachnospiraceae_unclass","AATC01000018.GFVMoGu2_92.72_[Desulfotomaculum]_guttoideum_1461_93.566"
"Zotu.0036","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus_clausii","AB043853.BcsSp577_99.73_Bacillus_clausii_1468_98.842"
"Zotu.0037","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium_breve","AB470326.GWMSpec5_98.53_Bifidobacterium_breve_1452_99.242"
"Zotu.0038","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas","Halomonas_alimentaria","AF211860.G8QAlim2_99.2_Halomonas_alimentaria_1459_100"
"Zotu.0039","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Acidaminococcaceae","Phascolarctobacterium","Phascolarctobacterium_succinatutens","AB490811.GD4Succ2_93.96_Phascolarctobacterium_succinatutens_1442_100"
"Zotu.0040","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium_unclass","AF260434.GV2Spe54_100_Corynebacterium_epidermidicanis_1446_96.196"
"Zotu.0041","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus_saprophyticus","AB480749.F3CSap97_99.74_Staphylococcus_saprophyticus_1474_99.864"
"Zotu.0042","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Rothia","Rothia_dentocariosa","AY546095.Rt0Den10_100_Rothia_dentocariosa_1448_100"
"Zotu.0043","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus_reuteri","AB627648.UncBa488_97.75_Lactobacillus_reuteri_1497_98.33"
"Zotu.0044","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus_2","Ruminococcus_2_unclass","AB969499.Unc04r23_95.17_Ruminococcus_bromii_1378_96.372"
"Zotu.0045","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Mitochondria_ge","Mitochondria_ge_unclass","CAIC01015143.MsaAcum2_91.04_Ochrobactrum_thiophenivorans_883_79.502"
"Zotu.0046","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Leuconostoc","Leuconostoc_mesenteroides","EU177633.L03Pseu7_99.53_Leuconostoc_mesenteroides_1472_99.524"
"Zotu.0047","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Finegoldia","Finegoldia_magna","AB109770.I0IMagn2_99.93_Finegoldia_magna_1443_99.168"
"Zotu.0048","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella","Citrobacter_koseri","AF025366.GX7Kos17_100_Citrobacter_koseri_1455_99.381"
"Zotu.0049","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_thetaiotaomicron","AB510710.GG7Thet9_99.79_Bacteroides_thetaiotaomicron_1450_100"
"Zotu.0050","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Cloacibacterium","Cloacibacterium_rupense","AB682228.G9ZRupen_98.61_Cloacibacterium_rupense_1438_100"
"Zotu.0051","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus_aryabhattai","AB738784.BcsMe303_99.87_Bacillus_aryabhattai_1473_99.932"
"Zotu.0052","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides","Parabacteroides_merdae","AB238928.HGWMerd3_93.9_Parabacteroides_merdae_1452_100"
"Zotu.0053","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus_2","Coprococcus_eutactus","AF052416.Unc55744_100_Coprococcus_eutactus_1439_98.958"
"Zotu.0054","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus_cecorum","AHYS01000008.GBKCeco7_98.51_Enterococcus_cecorum_1480_99.662"
"Zotu.0055","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_coprophilus","ACBW01000012.GG7Copro_89.87_Bacteroides_coprophilus_1452_100"
"Zotu.0056","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_vulgatus","AB510712.GG7Vul12_99.53_Bacteroides_vulgatus_1449_100"
"Zotu.0057","Bacteria","Actinobacteria","Actinobacteria","Streptosporangiales","Nocardiopsaceae","Nocardiopsis","Nocardiopsis_kunsanensis","KC798062.Nd7Spe32_96.77_Nocardiopsis_kunsanensis_1463_97.471"
"Zotu.0058","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","Haemophilus_parainfluenzae","AEWU01000024.GJIPar12_98.03_Haemophilus_parainfluenzae_1461_99.795"
"Zotu.0059","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","Faecalibacterium_prausnitzii","AM697227.Unc70648_98.63_Faecalibacterium_prausnitzii_1432_99.372"
"Zotu.0060","Bacteria","Cyanobacteria","Chloroplast","Chloroplast_or","Chloroplast_fa","Chloroplast_ge","Chloroplast_ge_unclass","AB856289.VitVin12_99.52_Loriellopsis_cavernicola_1421_86.84"
"Zotu.0061","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Simiduia","Simiduia_unclass","KF193197.FNWEnd58_91.22_Cellvibrio_japonicus_1460_91.301"
"Zotu.0062","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Weissella","Weissella_paramesenteroides","AB362621.WssPara3_96.9_Weissella_paramesenteroides_1473_99.728"
"Zotu.0063","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_ge","[Ruminococcus]_gnavus","ACTO01000052.GQPBac21_93.98_[Ruminococcus]_gnavus_1452_99.725"
"Zotu.0064","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelatoclostridium","Erysipelatoclostridium_ramosum","ABFX02000008.HEWRamo3_96.95_Erysipelatoclostridium_ramosum_1448_100"
"Zotu.0065","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Pyramidobacter","Pyramidobacter_piscolens","AB565480.HZRPisc2_88.41_Pyramidobacter_piscolens_1444_100"
"Zotu.0066","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter_calcoaceticus","AB193885.Unc04dyj_100_Acinetobacter_calcoaceticus_Acinetobacter_pittii_1459_99.657"
"Zotu.0067","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Subdoligranulum","Gemmiger_formicilis","AB559649.Unc57744_98.04_Gemmiger_formicilis_1410_98.369"
"Zotu.0068","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus_dentisani","AEVF01000016.S53Peror_97.84_Streptococcus_dentisani_1466_97.817"
"Zotu.0069","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Micrococcus","Micrococcus_antarcticus","AB167385.HQDLut95_99.93_Micrococcus_antarcticus_1440_99.653"
"Zotu.0070","Bacteria","Firmicutes","Bacilli","Bacillales","Family_XI","Gemella","Gemella_haemolysans","ACDZ02000008.GF3Haem3_96.93_Gemella_haemolysans_1478_99.932"
"Zotu.0071","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Methylobacterium","Methylobacterium_indicum","AB698676.HXVAqua7_96.26_Methylobacterium_indicum_1382_99.059"
"Zotu.0072","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium_adolescentis","AF275881.GWMAdo14_100_Bifidobacterium_adolescentis_1451_99.862"
"Zotu.0073","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea","Dorea_unclass","AB506177.Unc12756_94.91_Dorea_longicatena_1318_99.545"
"Zotu.0074","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Subdoligranulum","Subdoligranulum_unclass","AAQK01003598.GJ6Meag7_98.31_Gemmiger_formicilis_1411_96.74"
"Zotu.0075","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium_1","Corynebacterium_accolens","ACGD01000048.GV2Acco2_99.07_Corynebacterium_accolens_1439_100"
"Zotu.0076","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus_gasseri","AB008209.LcbGass4_99.87_Lactobacillus_gasseri_1494_99.933"
"Zotu.0077","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Subdoligranulum","Subdoligranulum_variabile","GQ175393.Unc81936_96.49_Subdoligranulum_variabile_1427_98.178"
"Zotu.0078","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus_amylovorus","AB425915.LcbAmy28_98.25_Lactobacillus_amylovorus_1485_98.451"
"Zotu.0079","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Tyzzerella_4","Tyzzerella_nexilis","EF398296.Unc38264_96.25_Tyzzerella_nexilis_1457_98.353"
"Zotu.0080","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Butyricicoccus","Butyricicoccus_pullicaecorum","AQOB01000017.HJ6Pulli_93.44_Butyricicoccus_pullicaecorum_1454_98.212"
"Zotu.0081","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium_9","Ruminiclostridium_9_unclass","ADDX02000003.Rm0Bact9_94.51_Pseudoflavonifractor_capillosus_1459_94.585"
"Zotu.0082","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","Blautia_luti","AB506127.Unc13511_95.3_Blautia_luti_1454_97.524"
"Zotu.0083","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Anaerococcus","Anaerococcus_unclass","FM872962.Unc55341_93.31_Anaerococcus_octavius_1410_95.248"
"Zotu.0084","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas_protegens","AF094726.F1NFl158_100_Pseudomonas_protegens_1460_99.932"
"Zotu.0085","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Trueperella","Trueperella_abortisuis","AJ298658.HFGSpec9_100_Trueperella_abortisuis_1452_99.656"
"Zotu.0086","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_caccae","AB510697.GG7Cacc3_99.12_Bacteroides_caccae_1450_100"
"Zotu.0087","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus_sciuri","EF436333.UncR7886_99.08_Staphylococcus_sciuri_1474_99.864"
"Zotu.0088","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium_1","Corynebacterium_amycolatum","AGEM01000001.GV2Spec5_96.94_Corynebacterium_amycolatum_1440_98.611"
"Zotu.0089","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Megamonas","Megamonas_rupellensis","ADMB01000074.GQ4Funif_88.53_Megamonas_rupellensis_1400_97.929"
"Zotu.0090","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas_citronellolis","AB118221.F1NSp380_100_Pseudomonas_citronellolis_1464_98.702"
"Zotu.0091","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Porphyromonas_gingivalis","AB547661.GW6Ging8_98.38_Porphyromonas_gingivalis_1453_99.656"
"Zotu.0092","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","Stenotrophomonas_nitritireducens","AJ012229.GFUNitr3_99.67_Stenotrophomonas_nitritireducens_1465_100"
"Zotu.0093","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Anaerococcus","Anaerococcus_unclass","EU735704.Unc41773_93.02_Anaerococcus_octavius_1409_95.6"
"Zotu.0094","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Bogoriellaceae","Georgenia","Georgenia_unclass","EF063623.Unc42750_92.21_Georgenia_muralis_Georgenia_ruanii_1453_93.462"
"Zotu.0095","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alishewanella","Alishewanella_fetalis","DQ501353.UncG1379_95.3_Alishewanella_fetalis_1461_97.331"
"Zotu.0096","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Geodermatophilaceae","Blastococcus","Blastococcus_saxobsidens","KC554987.Unc21943_96.67_Blastococcus_saxobsidens_1445_97.509"
"Zotu.0097","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Granulicatella","Granulicatella_adiacens","ACKZ01000002.Gt3Adiac_94.51_Granulicatella_adiacens_1386_99.495"
"Zotu.0098","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","Blautia_unclass","AY452001.Unc45278_96.64_Blautia_glucerasea_1452_95.73"
"Zotu.0099","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea","Dorea_formicigenerans","AAXA02000006.HEKForm2_96.82_Dorea_formicigenerans_1451_98.346"
"Zotu.0100","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Diaphorobacter","Diaphorobacter_nitroreducens","AB064317.HKBNitr3_99.87_Diaphorobacter_nitroreducens_1450_100"
"Zotu.0101","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Propionibacterium","Propionibacterium_acnes","AB042288.H1JAcn40_100_Propionibacterium_acnes_1446_100"
"Zotu.0102","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Saccharopolyspora","Saccharopolyspora_indica","EU741166.GZ2Antim_96.51_Saccharopolyspora_indica_1434_99.372"
"Zotu.0103","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella","Escherichia_hermannii","AB523725.GQNBac57_99.66_Escherichia_hermannii_1439_98.958"
"Zotu.0104","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria_elongata","ADBF01000003.N03Elon5_96.18_Neisseria_elongata_1451_99.173"
"Zotu.0105","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus_toyonensis","AB363736.BcsMyc46_100_Bacillus_toyonensis_1473_99.796"
"Zotu.0106","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus_licheniformis","AB020199.BcsSp287_98.02_Bacillus_licheniformis_1463_98.086"
"Zotu.0107","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Intestinibacter","Romboutsia_timonensis","FJTZ01000006.Rm2Speci_97.91_Romboutsia_timonensis_1424_98.244"
"Zotu.0108","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas","Pseudoxanthomonas_taiwanensis","AB039336.GK7Spe74_100_Pseudoxanthomonas_taiwanensis_1469_99.864"
"Zotu.0109","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas_mali","AM697304.Unc96578_97.29_Sphingomonas_mali_Sphingomonas_pruni_1407_97.797"
"Zotu.0110","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus_hisashii","AB020197.BcsS3560_98.68_Bacillus_hisashii_1472_98.777"
"Zotu.0111","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_stercoris","AB510708.GG7Ster8_94.85_Bacteroides_stercoris_1448_100"
"Zotu.0112","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_massiliensis","AB510703.GG7Mass4_97.97_Bacteroides_massiliensis_1451_100"
"Zotu.0113","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Rothia","Rothia_mucilaginosa","ACSB01000014.Rt0Mucil_99.47_Rothia_mucilaginosa_1451_99.311"
"Zotu.0114","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus_mediterraneensis","AB712344.BcsSp371_97.76_Bacillus_mediterraneensis_1474_97.558"
"Zotu.0115","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus_3","Coprococcus_comes","ABVR01000038.HFOComes_98.01_Coprococcus_comes_1452_99.449"
"Zotu.0116","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Serratia","Ewingella_americana","AB273745.GYBAmer3_98.52_Ewingella_americana_1464_99.863"
"Zotu.0117","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus_faecalis","AB012212.GBKFa218_99.93_Enterococcus_faecalis_1477_100"
"Zotu.0118","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Geobacillus","Geobacillus_thermoglucosidasius","AJ564613.GK5Cal11_99.67_Geobacillus_thermoglucosidasius_1480_99.257"
"Zotu.0119","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus_reuteri","CP000705.LcbReu10_98.84_Lactobacillus_reuteri_1497_99.532"
"Zotu.0120","Bacteria","Firmicutes","Bacilli","Bacilli_unclass","uncultured_fa","uncultured_ge","uncultured_ge_unclass","AM930273.UncB5851_92.36_Novibacillus_thermophilus_1426_96.353"
"Zotu.0121","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Spirosoma","Spirosoma_unclass","AB539840.I1PSpec7_91.52_Spirosoma_rigui_1431_93.152"
"Zotu.0122","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Veillonella","Veillonella_dispar","ACIK02000004.VeeDisp2_99.09_Veillonella_dispar_1478_99.865"
"Zotu.0123","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus_lutetiensis","AB563242.S53Equ48_99.93_Streptococcus_lutetiensis_1468_99.728"
"Zotu.0124","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Carnobacterium","Carnobacterium_mobile","EU939414.UncB5581_96.39_Carnobacterium_mobile_1472_97.351"
"Zotu.0125","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Rothia","Rothia_terrae","EF540463.Rt0Spe10_95.59_Rothia_terrae_1428_99.72"
"Zotu.0126","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter_albensis","AB506359.UncB8598_98.09_Acinetobacter_albensis_1461_98.494"
"Zotu.0127","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Kocuria","Kocuria_carniphila","AJ622907.KcrCarni_98.01_Kocuria_carniphila_1453_100"
"Zotu.0128","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella_buccalis","AB547676.H0LBucc2_90.55_Prevotella_buccalis_1453_100"
"Zotu.0129","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas","Brevundimonas_nasdae","AB071954.IVUNasd2_99.51_Brevundimonas_nasdae_1383_100"
"Zotu.0130","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Leuconostoc","Leuconostoc_gelidum","AEMI01000043.L03Gel10_98.17_Leuconostoc_gelidum_1471_100"
